date,open,high,low,close
2021-08-11,1.1742,1.1751,1.1725,1.1742
2021-08-12,1.1736,1.1803,1.1731,1.1736
2021-08-15,1.1796,1.1804,1.1768,1.1795
2021-08-16,1.178,1.1784,1.1711,1.178
2021-08-17,1.171,1.1731,1.1697,1.171
2021-08-18,1.1704,1.1707,1.1669,1.1703
2021-08-19,1.1677,1.1691,1.1665,1.1677
2021-08-22,1.17,1.1743,1.1696,1.1698
2021-08-23,1.1747,1.1765,1.1728,1.1745
2021-08-24,1.1755,1.1761,1.1729,1.1753
2021-08-25,1.1773,1.1781,1.1748,1.1774
2021-08-26,1.1753,1.1804,1.1736,1.1756
2021-08-29,1.18,1.1812,1.1785,1.1799
2021-08-30,1.1799,1.1846,1.1796,1.1797
2021-08-31,1.1812,1.186,1.1795,1.181
2021-09-01,1.1842,1.1872,1.1835,1.1841
2021-09-02,1.1874,1.1908,1.1868,1.1876
2021-09-05,1.1886,1.1886,1.1857,1.1886
2021-09-06,1.1874,1.1888,1.1838,1.1875
2021-09-07,1.1846,1.1854,1.1803,1.1844
2021-09-08,1.182,1.1841,1.1806,1.1819
2021-09-09,1.1824,1.1853,1.1819,1.1826
2021-09-12,1.1813,1.1818,1.1771,1.1812
2021-09-13,1.1811,1.1847,1.1802,1.1812
2021-09-14,1.1804,1.1833,1.1801,1.1805
2021-09-15,1.1819,1.1823,1.1752,1.182
2021-09-16,1.1765,1.179,1.173,1.1767
2021-09-19,1.1729,1.1737,1.1701,1.173
2021-09-20,1.1726,1.1749,1.1716,1.173
2021-09-21,1.1726,1.1745,1.1717,1.1723
2021-09-22,1.1689,1.1751,1.1684,1.1688
2021-09-23,1.1742,1.1748,1.1702,1.174
2021-09-26,1.1722,1.1728,1.1687,1.1723
2021-09-27,1.1696,1.1706,1.167,1.1697
2021-09-28,1.1687,1.1692,1.161,1.1686
2021-09-29,1.1602,1.1612,1.157,1.1602
2021-09-30,1.1574,1.1609,1.1564,1.1574
2021-10-03,1.1607,1.164,1.1589,1.1607
2021-10-04,1.1617,1.1623,1.1583,1.1618
2021-10-05,1.1595,1.16,1.153,1.1596
2021-10-06,1.1555,1.1571,1.1549,1.1555
2021-10-07,1.1559,1.1584,1.1543,1.156
2021-10-10,1.1566,1.1587,1.1553,1.1566
2021-10-11,1.1553,1.157,1.1534,1.1554
2021-10-12,1.1531,1.1579,1.1531,1.1534
2021-10-13,1.16,1.1625,1.1585,1.16
2021-10-14,1.1591,1.162,1.1589,1.1592
2021-10-17,1.1596,1.1612,1.1573,1.1597
2021-10-18,1.1615,1.167,1.1615,1.1614
2021-10-19,1.1634,1.1654,1.1618,1.1632
2021-10-20,1.1652,1.167,1.1633,1.1655
2021-10-21,1.1626,1.1654,1.1622,1.1625
2021-10-24,1.1641,1.1669,1.1593,1.164
2021-10-25,1.1612,1.1629,1.1586,1.1612
2021-10-26,1.1598,1.1624,1.1585,1.1598
2021-10-27,1.1599,1.1693,1.1583,1.16
2021-10-28,1.1684,1.1692,1.1547,1.1684
2021-11-01,1.1559,1.1593,1.1547,1.1557
2021-11-02,1.1602,1.1615,1.1579,1.16
2021-11-03,1.1581,1.1599,1.1564,1.1579
2021-11-04,1.1616,1.1617,1.1529,1.1616
2021-11-05,1.1557,1.1565,1.1514,1.1555
2021-11-08,1.1568,1.1596,1.1552,1.1569
2021-11-09,1.1589,1.1609,1.157,1.1592
2021-11-10,1.1594,1.1598,1.1513,1.1596
2021-11-11,1.1486,1.1492,1.1455,1.1486
2021-11-12,1.1448,1.146,1.1434,1.1451
2021-11-15,1.1442,1.1464,1.1417,1.1442
