date,open,high,low,close
2019-08-14,56.74,56.85,53.97,55.23
2019-08-15,54.9,55.33,53.77,54.47
2019-08-16,54.74,55.67,54.26,54.87
2019-08-19,54.96,56.41,54.84,56.21
2019-08-20,56.1,56.6,55.28,56.34
2019-08-21,56.05,57.13,55.55,55.68
2019-08-22,55.94,56.46,54.85,55.35
2019-08-23,55.35,55.6,53.24,54.17
2019-08-26,53.25,55.26,52.96,53.64
2019-08-27,53.76,55.72,53.69,54.93
2019-08-28,55.71,56.75,55.34,55.78
2019-08-29,55.88,56.89,55.43,56.71
2019-08-30,56.63,56.72,54.55,55.1
2019-09-03,55.0,55.24,52.84,53.94
2019-09-04,53.92,56.58,53.84,56.26
2019-09-05,55.95,57.76,55.75,56.3
2019-09-06,56.19,56.95,54.83,56.52
2019-09-09,56.8,58.16,56.58,57.85
2019-09-10,58.03,58.76,57.2,57.4
2019-09-11,57.89,58.3,55.61,55.75
2019-09-12,55.93,56.34,54.0,55.09
2019-09-13,55.15,55.68,54.44,54.85
2019-09-16,61.48,63.38,58.77,62.9
2019-09-17,61.96,62.59,58.46,59.34
2019-09-18,58.81,59.43,57.67,58.11
2019-09-19,58.2,59.54,58.01,58.13
2019-09-20,58.65,59.1,57.79,58.09
2019-09-23,59.25,59.39,57.37,58.64
2019-09-24,58.44,58.49,56.69,57.29
2019-09-25,56.7,57.02,55.55,56.49
2019-09-26,56.69,56.84,55.41,56.41
2019-09-27,56.51,56.76,54.75,55.91
2019-09-30,56.54,56.57,53.98,54.07
2019-10-01,54.28,54.84,53.05,53.62
2019-10-02,54.0,54.42,52.17,52.64
2019-10-03,52.47,52.91,50.99,52.45
2019-10-04,52.29,53.35,52.04,52.81
2019-10-07,52.69,54.06,52.59,52.75
2019-10-08,52.81,53.27,51.81,52.63
2019-10-09,52.57,53.74,52.31,52.59
2019-10-10,52.69,53.97,51.38,53.55
2019-10-11,53.88,54.93,53.64,54.7
2019-10-14,54.9,54.9,52.77,53.59
2019-10-15,53.51,53.79,52.39,52.81
2019-10-16,52.92,53.74,52.52,53.36
2019-10-17,52.99,54.16,52.62,53.93
2019-10-18,54.09,54.62,53.35,53.78
2019-10-21,53.71,54.03,52.71,53.31
2019-10-22,53.39,54.62,53.1,54.16
2019-10-23,54.3,56.07,53.62,55.97
2019-10-24,55.9,56.51,55.41,56.23
2019-10-25,56.07,56.74,55.6,56.66
2019-10-28,56.65,56.92,55.58,55.81
2019-10-29,55.8,55.91,54.61,55.54
2019-10-30,55.53,55.73,54.42,55.06
2019-10-31,54.9,55.59,53.71,54.18
2019-11-01,54.15,56.33,54.07,56.2
2019-11-04,56.41,57.43,55.83,56.54
2019-11-05,56.56,57.5,56.3,57.23
2019-11-06,57.26,57.85,56.11,56.35
2019-11-07,56.35,57.88,56.27,57.15
2019-11-08,57.08,57.48,55.76,57.24
2019-11-11,57.4,57.4,56.25,56.86
2019-11-12,56.89,57.55,56.54,56.8
2019-11-13,56.79,57.53,56.2,57.12
2019-11-14,57.39,57.79,56.63,56.77
2019-11-15,56.91,57.97,56.43,57.72
2019-11-18,57.88,58.09,56.55,57.05
2019-11-19,56.9,57.11,55.04,55.21
2019-11-20,55.16,57.25,54.76,57.11
2019-11-21,57.0,58.67,56.6,58.58
2019-11-22,58.31,58.74,57.5,57.77
2019-11-25,57.92,58.15,57.21,58.01
2019-11-26,57.92,58.56,57.76,58.41
2019-11-27,58.27,58.68,57.51,58.11
2019-11-29,58.13,58.3,55.02,55.17
2019-12-02,55.47,56.67,55.42,55.96
2019-12-03,55.96,56.8,55.35,56.1
2019-12-04,56.43,58.66,56.28,58.43
2019-12-05,58.36,59.12,58.1,58.43
2019-12-06,58.32,59.85,57.7,59.2
2019-12-09,59.11,59.25,58.23,59.02
2019-12-10,58.92,59.52,58.52,59.24
2019-12-11,59.06,59.22,58.11,58.76
2019-12-12,58.88,59.72,58.75,59.18
2019-12-13,59.36,60.48,59.27,60.07
2019-12-16,59.87,60.34,59.71,60.21
2019-12-17,60.23,61.06,60.03,60.94
2019-12-18,60.55,61.18,60.32,60.93
2019-12-19,60.86,61.47,60.79,61.22
2019-12-20,61.11,61.2,60.02,60.44
2019-12-23,60.41,60.77,60.1,60.52
2019-12-24,60.63,61.16,60.47,61.11
2019-12-26,61.2,61.83,61.06,61.68
2019-12-27,61.73,61.97,61.24,61.72
2019-12-30,61.71,62.34,61.09,61.68
2019-12-31,61.68,61.88,60.63,61.06
2020-01-02,61.6,61.6,60.64,61.18
2020-01-03,61.18,64.09,61.13,63.05
2020-01-06,63.71,64.72,62.64,63.27
2020-01-07,62.91,63.15,62.11,62.7
2020-01-08,62.84,65.65,59.15,59.61
2020-01-09,59.99,60.31,58.66,59.56
2020-01-10,59.61,59.78,58.85,59.04
2020-01-13,59.04,59.27,57.91,58.08
2020-01-14,58.03,58.72,57.72,58.23
2020-01-15,58.2,58.36,57.36,57.81
2020-01-16,58.1,58.87,57.56,58.52
2020-01-17,58.59,58.98,58.27,58.54
2020-01-21,59.17,59.73,57.68,58.34
2020-01-22,58.26,58.38,56.03,56.74
2020-01-23,56.11,56.27,54.77,55.59
2020-01-24,55.69,55.95,53.85,54.19
2020-01-27,53.7,53.71,52.13,53.14
2020-01-28,52.77,54.06,52.68,53.48
2020-01-29,53.97,54.37,52.81,53.33
2020-01-30,53.09,53.2,51.66,52.14
2020-01-31,52.92,53.36,50.97,51.56
2020-02-03,51.01,51.97,49.8,50.11
2020-02-04,49.94,51.55,49.31,49.61
2020-02-05,49.51,51.88,49.47,50.75
2020-02-06,51.17,52.2,50.24,50.95
2020-02-07,51.11,51.48,50.09,50.32
2020-02-10,50.12,50.49,49.42,49.57
2020-02-11,49.61,50.69,49.58,49.94
2020-02-12,49.96,51.73,49.95,51.17
2020-02-13,51.72,51.96,50.6,51.42
2020-02-14,51.51,52.34,51.32,52.05
2020-02-18,52.23,52.41,50.88,52.05
2020-02-19,52.12,53.66,51.93,53.29
2020-02-20,53.5,54.5,53.22,53.78
2020-02-21,53.74,53.86,52.55,53.38
2020-02-24,52.6,52.64,50.45,51.43
2020-02-25,51.37,52.02,49.69,49.9
2020-02-26,50.08,50.44,48.3,48.73
2020-02-27,48.63,48.78,45.88,47.09
2020-02-28,46.49,47.03,43.85,44.76
2020-03-02,43.7,47.56,43.32,46.75
2020-03-03,47.72,48.66,46.47,47.18
2020-03-04,46.94,48.41,46.65,46.78
2020-03-05,47.13,47.57,45.65,45.9
2020-03-06,46.09,46.38,41.05,41.28
2020-03-09,32.87,34.88,27.34,31.13
2020-03-10,30.37,35.02,30.2,34.36
2020-03-11,34.62,36.35,32.56,32.98
2020-03-12,33.07,33.63,30.02,31.5
2020-03-13,30.77,33.87,30.33,31.73
2020-03-16,33.75,33.75,28.1,28.7
2020-03-17,28.69,30.3,26.63,26.95
2020-03-18,26.94,27.22,20.06,20.37
2020-03-19,22.3,27.71,21.36,25.22
2020-03-20,24.73,27.89,19.46,22.43
2020-03-23,22.52,24.07,20.8,23.36
2020-03-24,23.87,25.16,23.09,24.01
2020-03-25,24.37,25.24,22.91,24.49
2020-03-26,24.25,24.65,22.38,22.6
2020-03-27,23.29,23.44,20.88,21.51
2020-03-30,20.93,20.93,19.27,20.09
2020-03-31,20.23,21.89,20.01,20.48
2020-04-01,20.1,21.55,19.9,20.31
2020-04-02,21.22,27.39,20.76,25.32
2020-04-03,24.81,29.13,23.52,28.34
2020-04-06,26.09,28.24,25.28,26.08
2020-04-07,26.34,27.24,23.54,23.63
2020-04-08,24.3,26.45,23.74,25.09
2020-04-09,26.28,28.36,22.57,22.76
